"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ITA","Italy","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,67,,
"EST","Estonia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,62.8,,
"CHE","Switzerland","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,83.2,,
"ITA","Italy","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,36.2,,
"OAVG","OECD - Average","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,72.7,,
"CZE","Czech Republic","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,56.3,,
"JPN","Japan","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,80.9,,
"MEX","Mexico","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,36,,
"NOR","Norway","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,78.6,,
"USA","United States","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,64,,
"CHN","China (People's Republic of)","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,68,,
"ISR","Israel","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,45.6,,
"FRA","France","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,67.9,,
"CHL","Chile","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,72.4,,
"USA","United States","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,62.4,,
"ITA","Italy","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,68.2,,
"FRA","France","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,59.2,,
"TUR","Turkey","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,76.9,,
"DEU","Germany","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,75.7,,
"ISL","Iceland","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,81.2,,
"DNK","Denmark","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,72,,
"NLD","Netherlands","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,76,,
"DNK","Denmark","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,80,,
"USA","United States","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,71.1,,
"TUR","Turkey","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,32.9,,
"LUX","Luxembourg","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,57.2,,
"LUX","Luxembourg","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,73.3,,
"IND","India","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,81.1,,
"NLD","Netherlands","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,53.9,,
"SVK","Slovak Republic","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,51.5,,
"RUS","Russia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,59.3,,
"CAN","Canada","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,65.6,,
"ESP","Spain","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,71.9,,
"GBR","United Kingdom","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,65,,
"SVK","Slovak Republic","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,67.6,,
"GRC","Greece","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,38,,
"NZL","New Zealand","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,81.3,,
"ISL","Iceland","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,76.8,,
"BEL","Belgium","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,53.8,,
"DEU","Germany","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,59.6,,
"TUR","Turkey","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,22.3,,
"DEU","Germany","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,52.2,,
"EST","Estonia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,71.9,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,78.6,,
"SVK","Slovak Republic","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,65.2,,
"OAVG","OECD - Average","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,55.7,,
"LUX","Luxembourg","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,73.1,,
"FIN","Finland","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,64.8,,
"BEL","Belgium","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,56.5,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,76,,
"SVK","Slovak Republic","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,62.2,,
"IND","India","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,81.8,,
"GRC","Greece","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,41.7,,
"JPN","Japan","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,56.7,,
"NZL","New Zealand","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,61.3,,
"POL","Poland","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,47,,
"KOR","Korea","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,50.5,,
"JPN","Japan","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,58.1,,
"ISR","Israel","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,70.1,,
"TUR","Turkey","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,30.2,,
"CAN","Canada","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,62.8,,
"IND","India","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,37.2,,
"DEU","Germany","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,76.1,,
"POL","Poland","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,65.3,,
"CZE","Czech Republic","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,73.5,,
"CZE","Czech Republic","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,77.9,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,59.4,,
"GBR","United Kingdom","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,82.1,,
"SWE","Sweden","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,71.8,,
"RUS","Russia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,69.8,,
"CAN","Canada","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,76.6,,
"TUR","Turkey","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,66.7,,
"ISR","Israel","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,61,,
"KOR","Korea","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,73.2,,
"HUN","Hungary","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,60.2,,
"GBR","United Kingdom","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,78.7,,
"IRL","Ireland","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,58.5,,
"DNK","Denmark","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,80.1,,
"MEX","Mexico","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,39.6,,
"BEL","Belgium","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,68.1,,
"FRA","France","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,68,,
"USA","United States","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,79.5,,
"GBR","United Kingdom","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,62.5,,
"CHE","Switzerland","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,69.3,,
"ESP","Spain","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,65.7,,
"SVN","Slovenia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,70.4,,
"EST","Estonia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,66.1,,
"CZE","Czech Republic","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,56.3,,
"PRT","Portugal","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,73.3,,
"NZL","New Zealand","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,66.5,,
"MEX","Mexico","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,82.8,,
"CHE","Switzerland","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,87.4,,
"NOR","Norway","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,78.1,,
"BEL","Belgium","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,45.4,,
"LUX","Luxembourg","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,74.3,,
"IDN","Indonesia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,49.5,,
"OAVG","OECD - Average","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,76.1,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,66.1,,
"NOR","Norway","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,77.3,,
"HUN","Hungary","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,50.2,,
"SVN","Slovenia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,62.6,,
"ITA","Italy","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,69.7,,
"NOR","Norway","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,73.6,,
"DNK","Denmark","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,74.2,,
"GRC","Greece","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,72.2,,
"ITA","Italy","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,39.6,,
"EST","Estonia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,60.6,,
"EST","Estonia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,60.7,,
"NLD","Netherlands","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,63.2,,
"LUX","Luxembourg","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,50,,
"DNK","Denmark","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,67,,
"JPN","Japan","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,80,,
"PRT","Portugal","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,61,,
"SWE","Sweden","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,85.2,,
"USA","United States","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,67.8,,
"SWE","Sweden","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,76.2,,
"NLD","Netherlands","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,81.2,,
"OAVG","OECD - Average","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,54.1,,
"ISL","Iceland","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,80.6,,
"GRC","Greece","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,46,,
"CHL","Chile","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,72.1,,
"CAN","Canada","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,73.4,,
"TUR","Turkey","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,71.7,,
"JPN","Japan","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,55.8,,
"ZAF","South Africa","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,51.4,,
"ISR","Israel","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,74.3,,
"CAN","Canada","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,61.6,,
"FRA","France","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,56.2,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,77.3,,
"FIN","Finland","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,70.5,,
"TUR","Turkey","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,26.2,,
"IRL","Ireland","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,67.5,,
"SVK","Slovak Republic","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,64.6,,
"HUN","Hungary","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,63.1,,
"KOR","Korea","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,73.9,,
"POL","Poland","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,51.8,,
"SWE","Sweden","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,70.9,,
"ESP","Spain","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,72.7,,
"HUN","Hungary","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,49.6,,
"CHL","Chile","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,36.8,,
"CHN","China (People's Republic of)","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,84.6,,
"ISR","Israel","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,69.5,,
"CAN","Canada","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,68.8,,
"IRL","Ireland","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,77,,
"POL","Poland","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,61.2,,
"ISR","Israel","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,55.5,,
"SVK","Slovak Republic","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,52.3,,
"FIN","Finland","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,59,,
"IRL","Ireland","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,41.5,,
"GBR","United Kingdom","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,79,,
"DEU","Germany","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,72.9,,
"RUS","Russia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,69.9,,
"NZL","New Zealand","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,78.2,,
"DEU","Germany","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,55.3,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,76.4,,
"ZAF","South Africa","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,35.3,,
"PRT","Portugal","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,54,,
"CHE","Switzerland","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,83.9,,
"KOR","Korea","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,52.6,,
"ESP","Spain","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","1990","1990","PC","Percentage","0","Units",,,31.8,,
"GRC","Greece","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","1990","1990","PC","Percentage","0","Units",,,73.4,,
"BEL","Belgium","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,69.5,,
"CZE","Czech Republic","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,56.9,,
"MEX","Mexico","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,43.2,,
"IDN","Indonesia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,79.3,,
"RUS","Russia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,63.3,,
"CRI","Costa Rica","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,44.6,,
"LTU","Lithuania","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,60.1,,
"LVA","Latvia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,53.8,,
"COL","Colombia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,47.1,,
"LVA","Latvia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,57.9,,
"COL","Colombia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,77.2,,
"LTU","Lithuania","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,58.5,,
"CRI","Costa Rica","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,74.3,,
"LVA","Latvia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,59,,
"LVA","Latvia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,66.4,,
"LTU","Lithuania","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,56.5,,
"COL","Colombia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,50.9,,
"LTU","Lithuania","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,66.4,,
"LVA","Latvia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,58.2,,
"LVA","Latvia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,61.1,,
"LTU","Lithuania","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,57.5,,
"COL","Colombia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,76.5,,
"LTU","Lithuania","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,59.6,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2015","2015","PC","Percentage","0","Units",,,77.5,,
"AUS","Australia","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2015","2015","PC","Percentage","0","Units",,,66.8,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2015","2015","PC","Percentage","0","Units",,,75.1,,
"AUT","Austria","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2015","2015","PC","Percentage","0","Units",,,67.1,,
"BEL","Belgium","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2015","2015","PC","Percentage","0","Units",,,65.5,,
"BEL","Belgium","EMP2","Employment/population ratio, by sex and age group","WOMEN","Women","1564","15-64","2015","2015","PC","Percentage","0","Units",,,58,,
"CAN","Canada","EMP2","Employment/population ratio, by sex and age group","MEN","Men","1564","15-64","2015","2015","PC","Percentage","0","Units",,,75.6,,
